Src,Eqid,Version,Lat,Lon,Magnitude,Depth,NST,Region
uu,60009887,4,39.8132,-111.564,1.7,3.8,16,Utah
uu,60009892,4,39.8113,-111.5707,1.7,5.5,18,Utah
ci,15271345,2,34.231,-117.4817,1.8,11.3,92,Southern California
ci,15271337,2,35.6885,-118.0867,1.2,2.2,42,Central California
nc,71917641,1,38.81,-122.7412,1.3,2.7,28,Northern California
nc,71917621,0,38.9513,-122.7605,1.6,3.5,10,Northern California
nc,71917616,2,37.4213,-118.3223,1.5,6.3,16,Central California
nc,71917611,0,38.8475,-122.7682,1.3,1.4,20,Northern California
us,c000eldx,8,-34.4286,179.1698,5.4,8.4,58,south of the Kermadec Islands
ak,10633301,1,60.59,-144.855,1.7,5.7,8,Southern Alaska
ak,10633289,1,63.9334,-148.8594,2.1,0,27,Central Alaska
ak,10633287,1,62.1183,-145.3699,1.6,18.8,7,Central Alaska
ci,15271305,4,32.598,-116.9805,1.5,2.7,35,"San Diego County urban area, California"
uw,60490302,2,48.0955,-121.96,1.1,0,11,"Puget Sound region, Washington"
ak,10633277,1,63.5429,-150.8844,1.7,1,5,Central Alaska
mb,13896315,2,44.597,-112.1591,2.3,8.1,34,western Montana
uu,60009862,4,39.8037,-111.5683,1.5,4.4,28,Utah
us,c000elb2,B,-10.2935,161.6659,5.2,87.4,92,Solomon Islands
ci,15271297,2,36.7905,-117.5405,1.6,2.7,20,Central California
ak,10633269,1,65.3688,-144.939,1.5,0.2,6,northern Alaska
ci,15271289,2,36.788,-117.5395,1.9,2.1,29,Central California
ak,10633260,1,63.2505,-149.649,1.5,54.2,10,Central Alaska
nc,71917581,0,38.9527,-122.76,1.8,2.9,10,Northern California
ak,10633254,1,65.9739,-144.8112,1.4,9.9,7,northern Alaska
ci,15271281,2,33.2803,-116.7808,1.1,13.8,61,Southern California
pr,13008002,0,18.8038,-67.2437,2.8,10,4,Puerto Rico region
ak,10633240,1,62.202,-145.8804,1.8,1.9,17,Central Alaska
ci,15271273,2,35.571,-118.5363,1.5,2,27,Central California
ak,10633234,1,63.386,-147.4119,1.3,27,5,Central Alaska
ak,10633228,1,63.1337,-150.4094,1.8,108.6,19,Central Alaska
nc,71917566,3,38.9532,-122.7592,1.6,2.8,20,Northern California
nc,71917561,2,38.9593,-122.7585,1.2,2.7,13,Northern California
us,c000el9s,4,-32.382,-14.1777,5,9.8,27,southern Mid-Atlantic Ridge
us,c000el9a,6,52.4052,-170.6298,5,52.7,353,"Fox Islands, Aleutian Islands, Alaska"
nc,71917556,4,37.5917,-121.8255,1.2,9.6,15,"San Francisco Bay area, California"
nc,71917541,2,38.9583,-122.7603,1.6,2.6,31,Northern California
us,c000el8z,3,55.3865,-134.9443,4.6,9.1,0,Southeastern Alaska
nc,71917536,2,38.9523,-122.7627,1.8,3.1,37,Northern California
nc,71917531,2,38.955,-122.7582,1.6,3.6,31,Northern California
nc,71917526,2,38.9575,-122.7623,1.8,3.1,39,Northern California
nc,71917516,3,38.9525,-122.7568,2.7,2.5,62,Northern California
